"title","Price","Mileage.miles.","Registration_Year","Previous.Owners","Fuel.type","Body.type","Engine","Gearbox","Doors","Seats"
"BMW 3 Series",5995,55000,2010,NA,"Petrol","Convertible","2.0L","Manual",2,4
"SEAT Ibiza",2620,78497,2010,4,"Petrol","Hatchback","1.2L","Manual",3,5
"KIA Picanto",2500,59000,2009,1,"Petrol","Hatchback","1.1L","Manual",5,4
"Vauxhall Corsa",1850,93000,2009,4,"Petrol","Hatchback","1.4L","Manual",5,5
"Mazda 3",13495,24008,2018,2,"Diesel","Saloon","2.2L","Manual",4,5
"Vauxhall Insignia",1999,120000,2010,3,"Diesel","Estate","2.0L","Automatic",5,5
"Fiat 500L",7750,28500,2015,3,"Diesel","MPV","1.3L","Manual",5,5
"Dacia Sandero Stepway",6793,39000,2017,3,"Diesel","Hatchback","1.5L","Manual",5,5
"Ford Streetka",1000,78715,2003,NA,"Petrol","Convertible","1.6L","Manual",2,2
"Vauxhall Corsa",10361,46625,2020,3,"Petrol","Hatchback","1.2L","Manual",5,5
"Nissan Almera Tino",990,93000,2004,3,"Petrol","MPV","1.8L","Manual",5,5
"Peugeot 308 SW",9600,56984,2016,4,"Diesel","Estate","1.6L","Manual",5,5
"Honda Jazz",4295,62427,2009,NA,"Petrol","Hatchback","1.3L","Manual",5,5
"Fiat 500",2500,64000,2013,7,"Petrol","Hatchback","1.2L","Manual",3,4
"Vauxhall Astra",7940,85887,2017,NA,"Petrol","Hatchback","1.4L","Manual",5,5
"MINI Hatch",1990,83000,2007,7,"Petrol","Hatchback","1.6L","Manual",3,4
"Vauxhall Corsa",4500,75474,2014,1,"Diesel","Hatchback","1.3L","Manual",3,5
"Nissan Juke",11000,45462,2019,1,"Petrol","SUV","1.6L","Manual",5,5
"Hyundai i40",6860,60000,2015,NA,"Diesel","Estate","1.7L","Manual",5,5
"KIA Picanto",4970,65400,2015,NA,"Petrol","Hatchback","1.0L","Manual",5,5
"Vauxhall Mokka X",10899,41729,2019,2,"Petrol","SUV","1.4L","Manual",5,5
"KIA Sportage",10198,50028,2016,NA,"Petrol","SUV","1.6L","Manual",5,5
"Vauxhall Corsa",3295,71000,2012,3,"Petrol","Hatchback","1.2L","Manual",3,5
"Fiat 500C",5750,67601,2010,NA,"Petrol","Convertible","1.4L","Automatic",2,4
"Vauxhall Corsa",2695,53000,2009,NA,"Petrol","Hatchback","1.2L","Manual",5,5
